LAPD;Problematic
free this sorter s data pages return the number of bytes freed private long free JJ memory NN free this sorter s data pages root ROOT pages amod pages free det sorter this compound pages sorter compound pages s compound pages data return the number of bytes freed root ROOT return det number the dobj return number case bytes of nmod of number bytes acl number freed private long free memory root ROOT memory amod memory free return number ANTONYM ANTONYM;0
public int get VB num NN records NNS public int get num records root ROOT get compound records num dobj get records;0
public boolean has VBZ next JJ public boolean has next root ROOT has advmod has next;0
public int get VB record NN length NN public int get record length root ROOT get compound length record dobj get length;0
private final prefix NN comparator NN prefix NN comparator NN private final prefix comparator root ROOT comparator compound comparator prefix prefix comparator root ROOT comparator compound comparator prefix;0
marks the current page as no more space available and as a result either allocate a new page or spill when we see the next record visible JJ for IN testing NN public void close RB current JJ page NN marks the current page as no more space available and as a result either allocate a root ROOT marks det page the amod page current dobj marks page case space as neg space no amod space more nmod as marks space amod space available cc marks and case result as det result a conj and marks result cc preconj allocate either acl result allocate dobj allocate a new page or spill when we see the next record root ROOT page amod page new cc page or conj or page spill advmod see when nsubj see we acl relcl page see det record the amod record next dobj see record visible for testing root ROOT visible case testing for nmod for visible testing public void close current page root ROOT page amod page close amod page current marks record ANTONYM ANTONYM marks see ANTONYM ANTONYM;0
private void update VB peak NN memory NN used VBN private void update peak memory used root ROOT update compound memory peak dobj update memory acl memory used;0
private static void sort NN key JJ prefix NN array NN at IN byte NN long RB array NN array NN long num NN records NNS long counts NNS int byte NN idx NN long in IN index NN long out IN index NN boolean desc NN boolean signed VBN private static void sort key prefix array at byte root ROOT array compound array sort amod array key compound array prefix case byte at nmod at array byte long array root ROOT array advmod array long array long num records root ROOT records compound records num long counts int byte idx root ROOT idx compound idx byte long in index root ROOT index case index in long out index root ROOT index case index out boolean desc boolean signed;0
public void write VB byte b NN int off IN int len NN throws io NN exception NN public void write byte b int off int len throws io exception root ROOT exception compound exception io;0
private string NN filename NN private string filename;0
private print NN stream NN output NN stream NN private print stream root ROOT stream compound stream print output stream root ROOT stream compound stream output;0
public file NN stream NN sink NN task NN print NN stream NN output NN stream NN public file stream sink task root ROOT task compound task file compound task stream compound task sink print stream root ROOT stream compound stream print output stream root ROOT stream compound stream output;0
public void start NN map NN string NN string NN props NNS public void start map string string props;0
private void set VBN timeout NN private void set timeout root ROOT set dobj set timeout;0
public void stop VB public void stop;0
public static final long default NN failure NN delay NN ms NNS public static final long default failure delay ms root ROOT ms compound ms default compound ms failure compound ms delay;0
private static final logger NN log NN logger NN factory NN get VB logger NN MockConnector class private static final logger log logger factory get logger root ROOT get compound factory logger nsubj get factory dobj get logger MockConnector class;0
final string NN transformation NN name NN final string transformation name root ROOT name compound name transformation;0
